1;FLL;1;25;2;11;N/A
2;EKO;2;-8;0;5;Partly cloudy
3;MLB;3;26;0;18;Overcast
4;TTN;4;13;8;23;Slight rain
5;ISP;5;7;0;36;Light drizzle
6;GCK;6;3;0;14;Overcast
7;GNV;7;16;0;23;Overcast
8;WRG;8;2;0;8;Overcast
9;VPS;9;4;0;16;Overcast
10;CID;10;-5;0;20;Overcast
11;PWM;11;-2;0;16;Overcast
12;OKC;12;0;0;24;Overcast
13;PHF;13;5;0;27;Light drizzle
14;RNO;14;3;0;6;Overcast
15;ROA;15;6;0;14;Overcast
16;FAR;16;-2;0;19;Overcast
18;VPS;18;16;0;17;Overcast
19;MDT;19;5;0;20;Overcast
20;PAH;20;12;1;11;N/A
21;ABR;21;-1;0;13;N/A
22;MQT;22;-2;0;21;Overcast
23;ORD;23;0;0;18;Overcast
24;GSO;24;8;4;17;N/A
25;BQN;25;27;0;12;Light drizzle
26;ABI;26;20;0;22;Overcast
27;INL;27;-1;0;13;N/A
28;DBQ;28;1;0;22;Light drizzle
29;EVV;29;9;1;25;N/A
30;PHL;30;3;0;29;N/A
31;KOA;31;23;0;6;Light drizzle
32;AMA;32;6;0;32;Overcast
33;EWR;33;2;26;24;N/A
34;AKN;34;-3;0;17;Mainly clear
35;DCA;35;9;0;15;Overcast
36;SBA;36;20;0;15;Overcast
37;LBB;37;22;0;22;Clear sky
38;ALB;38;-2;1;10;N/A
39;LAX;39;23;0;19;Partly cloudy
40;BOS;40;-2;17;28;N/A
41;OGG;41;24;8;20;Slight rain
42;BRD;42;-4;0;27;Overcast
43;SAT;43;17;0;22;Overcast
44;CHS;44;5;0;22;Overcast
45;HYS;45;7;0;27;Overcast
46;CMX;46;-19;0;14;Overcast
47;TXK;47;6;24;18;Moderate rain
48;MEM;48;1;0;18;Overcast
49;DBQ;49;-15;0;23;Overcast
50;PSG;50;5;11;16;Slight rain
51;CPR;51;1;1;13;N/A
52;ABE;52;-2;13;20;N/A
53;YAK;53;7;38;11;N/A
54;GCK;54;-7;0;11;Overcast
55;ROC;55;-5;0;17;Overcast
56;LEX;56;2;0;13;Overcast
57;DLH;57;-15;0;15;Overcast
58;SNA;58;16;0;14;Light drizzle
59;CLD;59;15;2;23;Light drizzle
60;IDA;60;3;0;18;Clear sky
61;BZN;61;0;0;17;N/A
62;BRD;62;-5;5;27;N/A
63;DLG;63;0;0;11;N/A
64;CSG;64;19;3;25;N/A
65;EKO;65;11;0;6;Partly cloudy
66;MEI;66;15;0;8;Partly cloudy
67;MLU;67;10;7;10;N/A
68;SUX;68;14;0;21;Clear sky
69;RDD;69;19;0;5;Overcast
70;VEL;70;9;0;6;Overcast
71;ALB;71;2;0;23;Overcast
72;ACT;72;18;1;18;N/A
73;SAV;73;25;2;17;N/A
74;CHO;74;16;0;21;Mainly clear
75;HLN;75;8;0;14;Light drizzle
76;FAI;76;3;0;11;Overcast
77;SBN;77;7;0;13;Overcast
78;ABQ;78;13;5;13;N/A
79;MGM;79;25;3;8;Slight rain
