1;2516;3804324;1600;2609;280;281;1593;2374;4;416
2;8440;4265411;2589;6972;336;181;878;2721;3;46
3;9419;3882204;3794;487;331;263;984;304;6;26
4;1206;205616;4533;9526;215;310;1064;2089;8;144
5;4410;637143;2004;4619;19;28;1286;357;8;871
6;4516;658050;4180;4944;137;327;1857;1800;10;277
7;3263;4194316;9441;4925;264;39;309;2483;9;965
8;8435;461326;5211;2915;154;236;1660;672;8;774
9;7812;175401;2130;785;277;277;1745;2929;8;391
10;8806;2442662;3833;6614;133;318;502;2027;8;151
11;861;1921112;6185;2897;120;260;45;1301;9;879
12;6905;3811751;4485;8685;69;175;1893;44;7;192
13;216;3855965;9579;8072;299;191;950;144;5;210
14;513;4879318;5570;7450;12;331;714;1338;4;113
15;6713;3499181;5906;6681;138;236;1400;2051;8;479
16;6450;2356937;7829;6757;26;120;1433;2173;3;531
17;4749;2034000;9236;1326;236;239;1996;2456;4;749
18;7725;3636301;6768;796;171;19;1512;1492;6;775
19;5040;1871058;8229;1689;141;237;59;2991;10;633
20;7950;1225120;1433;6643;45;160;177;2586;6;359
21;8917;3594337;4064;6052;101;158;1472;1773;8;438
22;88;355181;6400;7174;246;46;1713;1783;5;497
23;7367;2097865;2759;8530;287;123;542;2159;3;639
24;5081;3723086;2901;5808;138;102;1784;2922;8;415
25;7996;4225749;3768;187;338;235;1053;987;1;228
26;2619;848041;2782;7417;225;176;877;2309;8;540
27;3579;143734;7531;7190;314;181;517;1263;4;901
28;8901;765132;7435;3083;162;228;902;448;10;752
29;3527;1738959;8133;6993;316;232;542;2327;10;445
30;9;624059;1655;1497;174;97;1003;259;3;313
31;248;4027414;9352;8881;44;145;1505;2337;9;924
32;1261;4914809;1435;5903;125;14;1298;329;4;606
33;3128;4220964;2493;9338;9;159;1953;1227;4;317
34;1292;3822694;2075;3901;295;294;190;258;5;653
35;9488;2141363;2308;2629;132;58;1922;255;6;195
36;2357;189697;949;5968;193;173;1677;1861;10;725
37;1651;3913422;2010;6569;141;64;122;2491;4;555
38;47;4470192;9139;4659;264;272;1986;2932;3;335
39;5302;4191056;8243;8094;143;261;754;290;4;777
40;9036;1426540;3869;486;271;161;755;1164;4;768
41;7231;4067195;2944;764;54;265;1401;521;9;72
42;3473;3707608;1221;6446;169;108;346;1617;3;895
43;3464;752432;4332;3753;302;66;155;2318;5;419
44;2028;1211046;6730;2893;42;318;1330;2392;9;503
45;2116;1821076;9932;4885;267;274;907;2050;10;219
46;8266;2675027;1952;2321;152;269;231;458;7;880
47;450;405418;4986;7514;179;89;778;343;5;632
48;9029;1445315;3860;2405;243;272;1371;778;8;474
49;2199;1210999;325;3814;288;307;1420;755;9;286
50;119;402894;5628;4844;14;142;292;1855;2;930
51;9896;141410;2316;7002;90;305;205;1454;8;647
52;3823;2680355;3365;8672;7;249;1750;1341;1;124
53;428;848085;5583;2041;16;25;919;1216;10;230
54;6263;2748530;4237;2485;205;293;1857;1056;10;654
55;3524;974711;7784;3711;182;112;1872;2184;9;95
56;8753;1154621;9812;2655;349;363;1560;2892;1;849
57;6031;3431898;2366;2640;39;334;1159;2999;1;225
58;5528;4706742;1318;1082;243;310;1365;2056;3;589
59;4129;4316518;5013;1377;291;4;392;1418;1;483
60;6462;2789736;6960;1945;199;173;1811;1258;9;25
61;3120;1021807;3786;1594;248;133;1498;211;3;934
62;4809;4069501;4902;6562;109;200;1946;1909;10;943
63;442;4377851;7662;1964;364;354;711;1263;8;628
64;7961;4139644;3399;3797;335;269;14;867;7;452
65;4089;784968;7503;9307;149;242;1;1329;4;690
66;8477;2618107;2529;8329;102;145;1616;2855;2;409
67;5304;535090;946;1577;125;282;1959;1365;7;347
68;6147;3584638;7404;7125;191;8;1750;2920;9;475
69;2456;4935045;8279;6198;112;220;261;879;6;940
70;3802;436934;4138;758;44;49;719;1544;5;246
71;8302;249629;4230;2295;198;331;1589;2575;9;624
72;7119;4513736;4130;4523;321;92;1482;2495;7;53
73;9125;1928210;7965;1599;93;167;572;318;6;871
74;401;2227915;4463;3279;71;30;1224;2716;9;294
75;3605;2149032;1586;9221;278;348;1414;2497;3;750
76;2970;3844663;1916;1769;187;139;583;1824;10;823
77;5345;2966557;2427;8931;17;356;1167;2943;10;348
78;4923;2152776;2300;5077;88;25;467;1305;5;40
79;6735;3636698;8225;2465;246;107;235;1354;5;10
80;6324;1565075;541;5152;278;262;1674;2344;2;118
81;1251;4513454;5884;677;271;191;1953;1127;3;459
82;9065;1315525;325;6289;344;359;1813;1033;5;222
83;2886;404414;8861;2064;248;16;487;2326;10;383
84;6412;4968318;3666;5109;173;172;1791;2707;5;483
85;2877;1543304;9262;1315;357;10;180;367;6;617
86;6185;1132378;5399;2061;202;312;1139;2040;2;167
87;3778;3628932;482;3364;247;140;623;565;5;128
88;6001;1468417;9480;3548;31;234;1902;2890;10;674
89;6728;2353451;1604;3374;208;341;1976;1071;7;378
90;1281;3114875;5453;5642;304;248;624;1475;3;400
